,date,open_price,close_price,high_price,low_price,volume,buy,sell,account_value,weighted_avg
0,2015-08-26,192.08,194.46,194.79,188.37,339256986,0,0,10000.0,0.0
1,2015-08-27,197.02,199.27,199.42,195.21,274143906,0,0,10000.0,0.0
2,2015-08-28,198.5,199.28,199.835,197.92,160414352,0,0,10000.0,0.0
3,2015-08-31,198.11,197.67,199.125,197.01,163298816,1,0,10000.0,197.67
4,2015-09-01,193.12,191.77,194.77,190.73,256000392,3,0,9994.1,193.245
5,2015-09-02,194.62,195.41,195.46,192.42,160269331,0,4,10008.66,0.0
6,2015-09-03,196.26,195.55,198.05,194.96,152087836,0,0,10008.66,0.0
7,2015-09-04,192.85,192.59,193.86,191.61,207080961,1,0,10008.66,192.59
8,2015-09-08,195.94,197.43,197.61,195.17,116025739,0,1,10013.5,0.0
9,2015-09-09,199.32,194.79,199.47,194.35,149347735,1,0,10013.5,194.79
10,2015-09-10,194.56,195.85,197.22,194.25,158611063,0,1,10014.56,0.0
11,2015-09-11,195.375,196.74,196.82,194.53,119691212,0,0,10014.56,0.0
12,2015-09-14,196.95,196.01,197.01,195.43,79451983,1,0,10014.56,196.01
13,2015-09-15,196.61,198.46,198.99,195.9612,113806176,0,1,10017.01,0.0
14,2015-09-16,198.82,200.18,200.41,198.41,99581557,0,0,10017.01,0.0
15,2015-09-17,200.02,199.73,202.89,199.28,276046618,1,0,10017.01,199.73
16,2015-09-18,195.71,195.45,198.6844,194.96,223657456,3,0,10012.73,196.51999999999998
17,2015-09-21,196.44,196.46,197.68,195.21,105726209,0,0,10016.77,196.51999999999998
18,2015-09-22,193.88,193.91,194.46,192.56,153890876,5,0,10009.12,195.07
19,2015-09-23,194.11,193.6,194.67,192.91,92790620,7,0,10007.570000000002,194.426875
20,2015-09-24,192.15,192.9,193.45,190.56,159378840,9,0,10002.670000000002,193.87720000000002
21,2015-09-25,194.64,192.85,195.0,191.81,155054777,0,0,10001.420000000002,193.87720000000002
22,2015-09-28,191.78,188.01,191.91,187.64,178515871,0,0,9880.420000000002,193.87720000000002
23,2015-09-29,188.27,188.12,189.74,186.93,159045572,0,0,9883.170000000002,193.87720000000002
24,2015-09-30,190.37,191.63,191.825,189.44,163452044,0,0,9970.920000000002,193.87720000000002
25,2015-10-01,192.08,192.13,192.49,189.82,131078964,0,0,9983.420000000002,193.87720000000002
26,2015-10-02,189.77,195.0,195.03,189.12,211003342,0,25,10055.170000000002,0.0
27,2015-10-05,196.46,198.47,198.74,196.33,126320842,0,0,10055.170000000002,0.0
28,2015-10-06,198.31,197.79,198.98,197.0,110274530,1,0,10055.170000000002,197.79
29,2015-10-07,198.9,199.41,199.825,197.48,124307295,0,1,10056.790000000003,0.0
